Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
AD 88/2023 Prestação do Serviço de Telepatologia/Patologia Digital;Ajuste Direto Regime Geral;Aquisição de serviços;85111800-8;Principal;Serviços de patologia;8500.0 € ;"Centro Hospitalar Cova da Beira, EPE (506361659)";"ZMWay, Lda. (508085349)";"8.500,00 €";06-10-2023;06-09-2023;31 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;30-09-2023;"8.500,00 €";;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2523452;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de Serviços para a elaboração de projeto para a reabilitação da Escola Profissional Agrícola Quinta da Lageosa – Covilhã ;Consulta Prévia;Aquisição de serviços;71000000-8;Principal;"Serviços de arquitectura, construção, engenharia e inspecção";72000.0 € ;Direção-Geral dos Estabelecimentos Escolares (600086020);"Pbarbosa - arquitecto, Sociedade Unipessoal Lda (515209660)";"72.000,00 €";04-10-2023;18-08-2023;195 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjQ1NTYx;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de serviços de espetáculo de Mão Verde;Ajuste Direto Regime Geral;Aquisição de serviços;92312240-5;Principal;Serviços prestados por artistas;5000.0 € ;Município da Covilhã (505330768);Radar dos Sons – Produções Culturais Ldª (509124399);"5.000,00 €";03-10-2023;02-10-2023;1 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";Cumprimento integral do contrato;18-10-2023;"5.000,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de alojamento e refeições para eventos do Município da Covilhã;Consulta Prévia;Aquisição de serviços;55100000-1;Principal;Serviços de hotelaria;26661.0 € ;Município da Covilhã (505330768);"RMPZ, Lda (506658023)";"26.661,00 €";03-10-2023;20-09-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de alojamento e refeições para eventos do Município da Covilhã;Consulta Prévia;Aquisição de serviços;55100000-1;Principal;Serviços de hotelaria;18500.0 € ;Município da Covilhã (505330768);"Paço 100 Pressa, Unipessoal, Lda. (514629525)";"18.500,00 €";03-10-2023;20-09-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Concurso Público, com carácter internacional para a aquisição de serviços de estabilização de emergência pós-incêndio - controlo de espécies invasoras lenhosas";Concurso público;Aquisição de serviços;77231000-8;Principal;Serviços de gestão florestal;155520.0 € ;Município da Covilhã (505330768);"Letras & Pétalas, Unipessoal, Lda (513589210)";"155.520,00 €";02-10-2023;29-09-2023;150 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2382359;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços dos confeção, transporte e distribuição de refeições escolares ao pré-escolar e ao 1.º ciclo do ensino básico dos estabelecimentos de ensino Jardim de Infância de Peraboa e Escola Básica de Peraboa";Ajuste Direto Regime Geral;Aquisição de serviços;55500000-5;Principal;Serviços de cantinas e de fornecimento de refeições (catering);6963.0 € ;Município da Covilhã (505330768);Freguesia de Peraboa (507266684);"6.963,00 €";02-10-2023;28-09-2023;226 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";true;false;
Aquisição de serviços de espetáculo da Orquestra de Jazz de Matosinhos;Ajuste Direto Regime Geral;Aquisição de serviços;92312240-5;Principal;Serviços prestados por artistas;7500.0 € ;Município da Covilhã (505330768);Associação Orquestra Jazz de Matosinhos  (504418955);"7.500,00 €";27-09-2023;26-09-2023;1 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;18-10-2023;"7.500,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de contratação de um Diretor Artístico para o teatro Municipal da Covilhã;Consulta Prévia;Aquisição de serviços;92312110-5;Principal;Serviços recreativos dos produtores teatrais;28200.0 € ;Município da Covilhã (505330768);RUI ANTÓNIO CAPELO GOMES DE SENA;"28.200,00 €";27-09-2023;26-09-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE SERVIÇOS DE CONSULTORIA NO ÂMBITO DO PROJETO DE EFICIÊNCIA ENERGÉTICA DA ILUMINAÇÃO PÚBLICA E DE INSTALAÇÃO DE SISTEMAS DE AUTO CONSUMO DO CONCELHO DA COVILHÃ  PROC.N. 146/2023;Ajuste Direto Regime Geral;Aquisição de serviços;71314300-5;Principal;Serviços de consultoria em matéria de rendimento energético;19900.0 € ;Município da Covilhã (505330768);ENERAREA - Agência Regional de Energia e Ambiente do Interior (505799618);"19.900,00 €";22-09-2023;22-09-2023;180 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2485749;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE SERVIÇOS DE FORNECIMENTO DO PLANO DE MOBILIDADE URBANA SUSTENTÁVEL DA COVILHÃ - PROC.N. 15-2023;Consulta Prévia;Aquisição de serviços;71245000-7;Principal;"Planos para aprovação, peças desenhadas e especificações";46900.0 € ;Município da Covilhã (505330768);"MPT Mobilidade e Planeamento do Território, Lda (507136535)";"46.900,00 €";21-09-2023;21-09-2023;365 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2360260;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de circuitos especiais de transporte escolar do concelho da Covilhã - Zona Norte do concelho;Ajuste Direto Regime Geral;Aquisição de serviços;60130000-8;Principal;Serviços de transporte rodoviário de passageiros com finalidade específica;67240.25 € ;Município da Covilhã (505330768);"Transdev Interior, S.A. (500148775)";"67.240,25 €";21-09-2023;18-09-2023;226 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";true;false;
Aquisição de serviços de circuitos especiais de transporte escolar do concelho da Covilhã - Zona Sul do concelho;Ajuste Direto Regime Geral;Aquisição de serviços;60130000-8;Principal;Serviços de transporte rodoviário de passageiros com finalidade específica;355093.75 € ;Município da Covilhã (505330768);"ATF - Auto Transportes do Fundão, SA (507220595)";"355.093,75 €";21-09-2023;19-09-2023;226 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";true;false;
Aquisição de serviços de limpeza;Concurso público;Aquisição de serviços;90910000-9;Principal;Serviços de limpeza;49273.98 € ;"Centro de Formação Profissional da Indústria Têxtil, Vestuário, Confecção e Lanifícios (Modatex) (509906478)";Vislisa Unipessoal Lda (510081983);"49.273,98 €";20-09-2023;11-09-2023;184 dias;"Portugal, Castelo Branco, Covilhã<BR/>Portugal, Lisboa, Lisboa<BR/>Portugal, Braga, Barcelos<BR/>Portugal, Porto, Santo Tirso";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjM4NDEy;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de serviços Projeto EU SOU + - Musica;Consulta Prévia;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;6600.0 € ;Município da Covilhã (505330768);Fábio Daniel Esteves Pereira;"6.600,00 €";20-09-2023;19-09-2023;335 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"AQUISIÇÃO DE SERVIÇOS PARA  Candidatura nº 12/REACT-EU/2021 - Gestão do combustível dos territórios submetidos ao Regime Florestal designada por ""Compete2020 - Baldio da Erada  Operação n.º 181527";Concurso público;Aquisição de serviços;77000000-0;Principal;"Serviços de agricultura, silvicultura, horticultura, aquicultura e apicultura";199099.86 € ;Conselho Diretivo de Baldios da Erada (901087602);Prosilcôa Unipessoal (513054081);"199.099,86 €";20-09-2023;20-02-2023;306 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjAyMjUx;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE SERVIÇOS DE ELABORAÇÃO DE PRÉ CERTIFICADOS ENERGÉTICOS  DE EDIFÍCIOS DE SAÚDE - PROC.N. 151/2023;Consulta Prévia;Aquisição de serviços;71314300-5;Principal;Serviços de consultoria em matéria de rendimento energético;5189.0 € ;Município da Covilhã (505330768);Certigy – Arquitetura e Engenharia Lda (508670837);"5.189,00 €";19-09-2023;18-09-2023;90 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2493645;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Conceção de um Programa Educacional para a promoção de uma alimentação saudável dirigido à comunidade escolar entre outras atividades relacionadas com a promoção da saúde na comunidade jovem.;Consulta Prévia;Aquisição de serviços;80561000-4;Principal;Serviços de formação em matéria de saúde;28710.0 € ;RUDE - Associação de Desenvolvimento Rural (502704969);Ana Carolina Santos Barata Nunes;"28.710,00 €";18-09-2023;04-08-2023;515 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Serviços de Marcenaria;Ajuste Direto Regime Geral;Aquisição de serviços;50800000-3;Principal;Serviços de reparação e manutenção diversos;1830.0 € ;"Escola Profissional Agrícola Quinta da Lageosa, Aldeia do Souto - Covilhã (600031691)";"Fábrica de Móveis da Enxabarda, Lda (502723505)";"1.830,00 €";15-09-2023;15-09-2023;107 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Consultadoria Técnica, no âmbito do 12/REACT-EU/2021.";Consulta Prévia;Aquisição de serviços;71000000-8;Principal;"Serviços de arquitectura, construção, engenharia e inspecção";27500.0 € ;Associação de Agrupamentos de Baldios Estrela Sul (515587923);"Forestcôa, Lda. (516477722)";"27.500,00 €";15-09-2023;13-05-2023;205 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Candidatura nº 12/REACT-EU/2021 - Gestão do combustível dos territórios submetidos ao Regime Florestal designada por ""Compete2020 - AABEstrela - Operação n.º 181739";Concurso público;Aquisição de serviços;77000000-0;Principal;"Serviços de agricultura, silvicultura, horticultura, aquicultura e apicultura";251986.43 € ;Associação de Agrupamentos de Baldios Estrela Sul (515587923);"Silviambiente, Lda. (510636497)";"251.986,43 €";14-09-2023;23-08-2023;153 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjQ4NTQy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Fornecimento de refeições no refeitório da Escola Profissional de Artes da Covilhã (EPABI), da qual é proprietária a Associação para a Escola Profissional de Artes da Covilhã, e no Conservatório Regional de Música da Covilhã - Orfeão da Covilhã (ORFEÃO), durante o ano letivo 2023/2024.";Concurso público;Aquisição de serviços;55524000-9;Principal;Serviços de fornecimento de refeições (catering) a escolas;101574.0 € ;Asssociação para a Escola Profissional de Artes da Covilhã (504647040);"UNISELF - SOCIEDADE DE RESTAURANTES PÚBLICOS E PRIVADOS, S.A. (501323325)";"101.574,00 €";14-09-2023;08-09-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;https://www.anogov.com/me-epabi/faces/app/pap/listaDocs.jsp?papId=801;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de serviços de projeto EU SOU + - Design;Consulta Prévia;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;10000.0 € ;Município da Covilhã (505330768);Diana Isabel Barata Fernandes;"10.000,00 €";12-09-2023;12-09-2023;304 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Concurso Público para o fornecimento do ""Projeto Técnico de Manutenção e Conservação da Piscina Praia""";Concurso público;Aquisição de serviços;71242000-6;Principal;"Preparação de projecto e concepção, estimativa de custos";30000.0 € ;Município da Covilhã (505330768);Pmt - coordenação e gestão de projectos (513959327);"30.000,00 €";12-09-2023;11-09-2023;105 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2377050;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços Projeto EU SOU + - Coordenador;Consulta Prévia;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;15600.0 € ;Município da Covilhã (505330768);Pedro Filipe Leitão Pais;"15.600,00 €";11-09-2023;07-09-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de projeto Eu Sou + - Arte e Musica;Consulta Prévia;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;6600.0 € ;Município da Covilhã (505330768);Ana Sofia Lucas Farias;"6.600,00 €";11-09-2023;07-09-2023;335 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços de veterinário(a) para o Município da Covilhã, no âmbito das atribuições do município em matéria de autoridade veterinária municipal";Ajuste Direto Regime Geral;Aquisição de serviços;85200000-1;Principal;Serviços de veterinária;7920.0 € ;Município da Covilhã (505330768);Joana Gomes Vaz;"7.920,00 €";07-09-2023;06-09-2023;181 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Serviços de manutenção e suporte da plataforma/software de gestão operacional escolar (SIGE3), na Escola Profissional de Artes da Covilhã (EPABI), propriedade da Associação para a Escola Profissional de Artes da Covilhã.";Ajuste Direto Regime Geral;Aquisição de serviços;72267100-0;Principal;Manutenção de software para as tecnologias da infomação;1709.52 € ;Asssociação para a Escola Profissional de Artes da Covilhã (504647040);INOVAR +AZ (508775876);"1.709,52 €";06-09-2023;06-09-2023;731 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Assistência técnica aos ventiloconvectores do DPSM;Ajuste Direto Regime Geral;Aquisição de serviços;50000000-5;Principal;Serviços de reparação e manutenção;9115.0 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"Padrão Invisível, Materiais de Construção, Ldª (509260861)";"9.115,00 €";05-09-2023;21-07-2023;30 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-08-2023;"9.115,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL 111-B/2017 ) e DLR nº 34/2008/M, de 14.08 (DLR n.º 6/2018/M)";true;false;
AD 74-23 Prestação de Serviços de Telepatologia/Patologia Digital;Ajuste Direto Regime Geral;Aquisição de serviços;85111800-8;Principal;Serviços de patologia;17000.0 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"ZMWay, Lda. (508085349)";"17.000,00 €";05-09-2023;25-07-2023;61 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-08-2023;"17.000,00 €";;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2467873;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
CPr 27/2023 - Aquisição de serviços de manutenção preventiva e corretiva de sistemas de AVAC em edifícios da Universidade da Beira Interior;Consulta Prévia;Aquisição de serviços;50324200-4;Principal;Serviços de manutenção preventiva;55800.0 € ;Universidade da Beira Interior (502083514);"Climaserra - Comércio de Ar Condicionado e Equipamento Hoteleiro, Lda. (504863991)";"55.800,00 €";04-09-2023;01-09-2023;731 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjQ1MTEx;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Confeção, transporte e distribuição das refeições escolares e serviço de refeitório, nos estabelecimentos do ensino pré-escolar, dos 1.º, 2.º e 3.º ciclos do ensino básico e do ensino secundário do Município da Covilhã";Concurso público;Aquisição de serviços;55500000-5;Principal;Serviços de cantinas e de fornecimento de refeições (catering);686444.8 € ;Município da Covilhã (505330768);"ICA-Indústria e Comércio Alimentar, S.A (501426230), NORDIGAL INDUSTRIA DE TRANSFORMAÇÃO ALIMENTAR SA (502176890)";"686.444,80 €";01-09-2023;01-09-2023;335 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2389045;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE SERVIÇOS DE MANUTENÇÃO DOS RELVADOS DOS CAMPOS 1 E 2 DO COMPLEXO DESPORTIVO DA COVILHÃ  -  PROC.N. 155/2023;Ajuste Direto Regime Geral;Aquisição de serviços;77320000-9;Principal;Serviços de manutenção de campos de desporto;9965.0 € ;Município da Covilhã (505330768);"MOTA-ENGIL ATIV - GESTÃO E MANUTENÇÃO DE ATIVOS, S.A. (503171565)";"9.965,00 €";01-09-2023;30-08-2023;8 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2493071;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AD nº 31/2023 - Aquisição de serviços de apoio à exploração e ao encerramento da conta de gerência 2022 no sistema SIAG-AP para a Universidade da Beira Interior;Ajuste Direto Regime Geral;Aquisição de serviços;72600000-6;Principal;Serviços de consultoria e assistência informáticas;19950.0 € ;Universidade da Beira Interior (502083514);"SIAG - Sistemas Integrados de Apoio à Gestão, S.A. (501492542)";"19.950,00 €";31-08-2023;30-08-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";Cumprimento integral do contrato;22-09-2023;"19.950,00 €";;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjQ4NDgz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Concurso Publico para a aquisição de serviços fornecimento do projeto de reabilitação do conjunto edificado na Rua 6 de Setembro;Concurso público;Aquisição de serviços;71242000-6;Principal;"Preparação de projecto e concepção, estimativa de custos";22660.0 € ;Município da Covilhã (505330768);"Go Walk, Lda (513702466)";"22.660,00 €";31-08-2023;31-08-2023;180 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2440749;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de vigilância e segurança para o mês de agosto de 2023;Ajuste Direto Regime Geral;Aquisição de serviços;79710000-4;Principal;Serviços de segurança;34963.15 € ;"Centro Hospitalar Cova da Beira, EPE (506361659)";"2045 - Empresa de Segurança, S.A.  (502332905)";"34.963,15 €";30-08-2023;28-08-2023;31 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2500345;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços de aluguer de equipamentos de luz, som e backstage para a Feira Internacional de Artesanato, Design e Outras Artes 2023";Consulta Prévia;Aquisição de serviços;92370000-5;Principal;Técnico de som;15000.0 € ;Município da Covilhã (505330768);"RM Audiovisuais Unipessoal, Lda (517028557)";"15.000,00 €";30-08-2023;29-08-2023;4 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";Cumprimento integral do contrato;21-09-2023;"15.000,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AD 39/2023 - Prestação de Serviços para Elaboração de Projeto de Reabilitação da Cantina de Santo António ;Ajuste Direto Regime Geral;Aquisição de serviços;71200000-0;Principal;Serviços de arquitectura e afins;9500.0 € ;Universidade da Beira Interior (502083514);"SOPSEC - Sociedade de Prestação de Serviços de Engenharia Civil, S.A. (501993339)";"9.500,00 €";29-08-2023;28-08-2023;95 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjY0MzQ0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"CPr 35/2023 - Aquisição de Serviços de Revisão de projeto, gestão, fiscalização e coordenação de segurança em obra da empreitada de Residência I";Consulta Prévia;Aquisição de serviços;71000000-8;Principal;"Serviços de arquitectura, construção, engenharia e inspecção";74420.0 € ;Universidade da Beira Interior (502083514);"Vitor Hugo - Coordenação e Gestão de Projectos, SA (503040630)";"74.420,00 €";29-08-2023;28-08-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjU5NTYx;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
